ID,fault_code,fault_type_code,dip_angle,numeric_attr,length_m,length_km,azimuth_deg,strike_deg,confidence_code,activity_era_code,occurrence_code,description
174,,05,55.0,12.529833793640137,12524.965458284696,12.524965458284695,114.23369014492114,114.23369014492114,101,101,101,"J2y,K1kz"
175,,05,63.0,7.291255474090576,7288.343777063815,7.288343777063814,117.7839876966162,117.7839876966162,101,101,101,"N1p,N1k,N2a"
176,,31,0.0,6.756058216094971,6753.4392931725,6.7534392931725,203.01976988760578,23.019769887605776,101,101,109,"S3-4t,N2a,N1p,K1kz"
179,,01,0.0,1.4457833766937256,1445.1914278436795,1.4451914278436795,184.08394498284773,4.083944982847726,101,101,109,D1s
181,,05,0.0,10.770913124084473,10766.700592252713,10.766700592252713,77.24598638259788,77.24598638259788,101,101,101,"N2a,N1k"
182,,05,70.0,5.724230766296387,5721.9139054233065,5.721913905423307,91.60062218728628,91.60062218728628,101,101,101,"N2a,Qp1X"
187,,01,0.0,0.8722001910209656,871.8100667906673,0.8718100667906673,35.09992920170435,35.09992920170435,101,101,109,"S3-4t,K1kz"
188,,05,57.0,6.399048328399658,6396.56189617049,6.39656189617049,31.72012150350091,31.72012150350091,101,101,101,"D1s,Qp1X,D2t"
189,,01,0.0,11.493454933166504,11489.03475998797,11.48903475998797,81.60035374037541,81.60035374037541,101,101,109,"N1k,EK"
191,,01,0.0,18.0933837890625,18086.375722554367,18.086375722554365,135.23264142993688,135.23264142993688,101,101,109,"N1a,EK,N1p,N1k"
194,,01,0.0,5.120353698730469,5118.392418558699,5.1183924185587,38.43545082275187,38.43545082275187,101,101,109,"S3-4t,K1kz"
196,,01,0.0,9.723012924194336,9719.26948119689,9.719269481196891,82.07218874937554,82.07218874937554,101,101,109,"N1k,EK"
200,,05,65.0,36.16042709350586,36146.24740943232,36.14624740943232,60.01288129296076,60.01288129296076,101,101,101,"EK,N1a,N1p"
203,,01,0.0,2.3214871883392334,2320.6130367178557,2.3206130367178557,32.74293238149111,32.74293238149111,101,101,109,"D1s,D2t"
204,,31,51.0,5.442805290222168,5440.576328831571,5.440576328831571,192.83541772652754,12.835417726527538,101,101,109,"Qp1X,S3-4t,EK"
205,,05,0.0,14.129937171936035,14124.361175970243,14.124361175970243,21.919517506458376,21.919517506458376,101,101,101,"S3-4t,D2t"
206,,05,0.0,1.1116912364959717,1111.2413578223304,1.1112413578223304,221.1652014852704,41.16520148527039,101,101,101,D2t
207,,01,0.0,0.35743749141693115,357.2976194473796,0.3572976194473796,25.837317098527205,25.837317098527205,101,101,109,"D1s,Qp1X"
208,F9,41,0.0,90.46649932861328,50717.410841131,50.717410841131,245.26406795482677,65.26406795482677,103,101,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
209,F9,41,0.0,90.46649932861328,14506.820998131374,14.506820998131374,128.6475767724625,128.6475767724625,103,101,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
210,,01,0.0,2.881707191467285,2880.6474018337017,2.8806474018337016,120.14564483509004,120.14564483509004,101,101,109,"N1k,N1p"
213,,05,65.0,6.118621349334717,6116.210437497824,6.116210437497824,29.812346045373804,29.812346045373804,101,101,101,"D2t,D1s"
216,,01,0.0,2.7543697357177734,2753.289398223954,2.753289398223954,77.41052115114171,77.41052115114171,101,101,109,"EK,N1k"
219,,05,0.0,6.384174823760986,6381.674591579215,6.381674591579215,56.39968239633886,56.39968239633886,101,101,101,"N1a,N1p"
221,,01,70.0,10.511878967285156,10507.680606436019,10.507680606436018,105.63244961643294,105.63244961643294,101,101,109,N1p
222,,05,55.0,18.641496658325195,18634.22228824728,18.634222288247283,83.91315477354924,83.91315477354924,101,101,101,"N1k,EK"
224,,05,72.0,19.311697006225586,19304.029566375382,19.304029566375384,102.93665306911791,102.93665306911791,101,101,101,"N1k,EK"
226,,01,0.0,16.91315269470215,16906.37503323438,16.90637503323438,99.63234237067267,99.63234237067267,101,101,109,"EK,N1k,K2Y"
232,,31,0.0,1.497348666191101,1496.7767847505718,1.4967767847505717,184.60863462001382,4.608634620013817,101,101,109,"S3-4t,N1p"
233,,01,80.0,2.5852582454681396,2584.245856232693,2.584245856232693,87.14662057175305,87.14662057175305,101,101,109,"D2t,D1s"
235,,05,70.0,6.182848930358887,6180.468215055373,6.180468215055373,211.98245195189241,31.982451951892415,101,101,101,"D2t,D1s"
241,,31,0.0,1.1892032623291016,1188.7379318048172,1.1887379318048172,201.0188457375736,21.0188457375736,101,101,109,"S3-4t,N1p"
243,F9,41,0.0,90.46649932861328,1129.050155301465,1.1290501553014651,122.55727561511111,122.55727561511111,103,101,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
245,,01,0.0,4.535872459411621,4534.2383551479525,4.534238355147952,117.09984662728662,117.09984662728662,101,101,109,EK
246,,01,0.0,3.010413408279419,3009.0664320712444,3.0090664320712444,103.73274136537793,103.73274136537793,101,101,109,"N1a,EK,N1k"
247,,01,0.0,8.015301704406738,8012.211209393415,8.012211209393415,62.36017906579328,62.36017906579328,101,101,109,"EK,N1k,N1a"
248,F9,41,0.0,90.46649932861328,3909.2691173233725,3.9092691173233725,121.28636527812805,121.28636527812805,103,101,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
249,,31,52.0,8.665578842163086,8662.199249584923,8.662199249584923,217.87910685833563,37.87910685833563,101,101,109,"N1a,S3-4t,N1k"
252,,01,0.0,2.652982711791992,2652.110104042914,2.652110104042914,100.08875494460065,100.08875494460065,101,101,109,"EK,N1k"
254,,01,0.0,1.3561303615570068,1355.5996091449829,1.355599609144983,115.88053492869044,115.88053492869044,101,101,109,"N1k,EK"
256,,01,0.0,12.426712036132812,12421.828853678764,12.421828853678765,41.630539815983624,41.630539815983624,101,101,109,"S3-4t,D2t,Qsn"
258,,01,0.0,3.290801525115967,3289.6163183052245,3.2896163183052245,116.66400119704288,116.66400119704288,101,101,109,"N1k,EK"
260,,05,50.0,7.09731388092041,7094.6203208508405,7.09462032085084,92.74214265672401,92.74214265672401,101,101,101,EK
262,F9,41,0.0,90.46649932861328,20168.229998108643,20.168229998108643,93.89370600991899,93.89370600991899,103,101,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
271,,05,71.0,3.0689308643341064,3067.8627627830065,3.0678627627830064,78.85374869236377,78.85374869236377,101,101,101,"N1a,EK"
273,,05,80.0,25.444660186767578,25434.860213593587,25.434860213593588,64.98388329844417,64.98388329844417,101,101,101,"N1k,EK,N1a"
274,,01,0.0,3.856812000274658,3855.388620665065,3.855388620665065,64.67091384541776,64.67091384541776,101,101,109,"EK,N1k"
275,,18,0.0,7.628944396972656,7625.945407219616,7.625945407219616,174.37712503130746,174.37712503130746,101,101,104,"EK,N1k,N1a"
276,,01,0.0,18.247325897216797,18240.274702961913,18.240274702961912,69.03424586931122,69.03424586931122,101,101,109,"EK,N1k"
278,,31,0.0,8.300130844116211,8296.729244617494,8.296729244617493,244.39618045760687,64.39618045760687,101,101,109,"S3-4t,N1k,K1kz,Qsn"
281,,16,0.0,2.7801902294158936,2779.095666635785,2.779095666635785,162.72528970460814,162.72528970460814,101,101,103,"N1k,N1a"
283,,04,0.0,1.364855408668518,1364.401698770229,1.364401698770229,67.56440816371973,67.56440816371973,101,101,109,Qsn
290,,01,0.0,18.566591262817383,18559.308898477186,18.559308898477187,79.02707736483697,79.02707736483697,101,101,109,"N1a,Qp1X,N1p"
292,,01,68.0,4.824638366699219,4822.725465381272,4.822725465381272,133.5930868764968,133.5930868764968,101,101,109,"Qp1X,N1p"
293,,01,0.0,4.930076599121094,4928.170618050397,4.928170618050397,70.9345327589399,70.9345327589399,101,101,109,"N1a,N1k"
294,,01,0.0,38.245941162109375,38230.96281896583,38.230962818965835,106.18458823861344,106.18458823861344,101,101,109,"N1k,N1a,N1p,Qp1X"
298,,01,0.0,0.29436320066452026,294.24799300380386,0.29424799300380383,79.42842444920728,79.42842444920728,101,101,109,N1a
300,,01,0.0,3.165954113006592,3164.545344347234,3.164545344347234,77.58808271765031,77.58808271765031,101,101,109,N1a
307,,01,0.0,1.0291188955307007,1028.63329265388,1.0286332926538801,74.87610698361058,74.87610698361058,101,101,109,"N1k,N1a"
308,,05,67.0,49.643089294433594,49623.64731990148,49.62364731990148,75.25614098414077,75.25614098414077,101,101,101,"N1k,N1a,EK"
310,,01,0.0,42.80464172363281,42788.006926772156,42.788006926772155,76.47013099662094,76.47013099662094,101,101,109,"N1a,N1k,EK"
315,,05,63.0,25.147197723388672,25137.3255377204,25.1373255377204,79.17015810885918,79.17015810885918,101,101,101,"EK,N1k"
319,,05,73.0,9.672572135925293,9668.69176288878,9.66869176288878,107.06527223095904,107.06527223095904,101,101,101,"Qp1X,N1k,N1p"
322,,04,0.0,4.659941673278809,4658.281296741946,4.658281296741946,101.2597309134512,101.2597309134512,101,101,109,"EK,Qsn"
323,,01,0.0,0.8886851072311401,888.3371616517303,0.8883371616517303,92.9395386304095,92.9395386304095,101,101,109,EK
324,,04,0.0,0.45631855726242065,456.1399819877241,0.45613998198772415,89.51427541358139,89.51427541358139,101,101,109,Qsn
325,,01,0.0,2.6571247577667236,2656.2516907436852,2.656251690743685,79.0148724306815,79.0148724306815,101,101,109,EK
326,,04,0.0,1.4672454595565796,1466.4991782128404,1.4664991782128405,93.33204900709866,93.33204900709866,101,101,109,Qsn
327,,01,0.0,0.581183135509491,581.127496284412,0.5811274962844121,94.87784550475655,94.87784550475655,101,101,109,EK
328,,04,0.0,0.7858133912086487,785.4218874670609,0.7854218874670609,100.60791752241356,100.60791752241356,101,101,109,Qsn
329,,01,0.0,4.974389553070068,4972.5286730593625,4.9725286730593625,277.7173541350001,97.71735413500011,101,101,109,"Qsn,EK"
330,,04,0.0,1.4571607112884521,1456.594967342183,1.456594967342183,80.4772060351448,80.4772060351448,101,101,109,Qsn
335,,01,0.0,0.7441659569740295,743.7029921614921,0.7437029921614922,91.6082233243421,91.6082233243421,101,101,109,"Qsn,EK"
340,,01,0.0,4.689230442047119,4687.397980309917,4.6873979803099175,93.77503436869672,93.77503436869672,101,101,109,"N1k,N1p,N1a"
342,,01,0.0,8.705697059631348,8702.466772573887,8.702466772573887,84.82122595998392,84.82122595998392,101,101,109,"N1k,N1p"
344,,01,0.0,6.749688148498535,6746.962064263505,6.7469620642635055,93.77681505243358,93.77681505243358,101,101,109,"Qp1X,N1k"
345,,01,0.0,1.7299939393997192,1729.2308384911207,1.7292308384911208,89.05816359433753,89.05816359433753,101,101,109,"N1a,N1p"
348,,01,0.0,0.8041202425956726,803.8907666030387,0.8038907666030387,82.60626401958193,82.60626401958193,101,101,109,N1k
349,,01,74.0,5.367391586303711,5365.293809259383,5.365293809259383,88.1960290208725,88.1960290208725,101,101,109,Qp1X
351,,01,0.0,3.4811177253723145,3479.585239058889,3.479585239058889,107.93668465298164,107.93668465298164,101,101,109,→N↓1→k
352,,01,0.0,0.4119621813297272,411.8708127447393,0.4118708127447393,54.78410180661802,54.78410180661802,101,101,109,"N1p,EK"
353,,01,0.0,2.845886468887329,2844.7734235718035,2.8447734235718034,71.79695516058602,71.79695516058602,101,101,109,"EK,N2a"
