ID,GZBBGA,strike,dip_dir,dip_angle,dot_strike_tick,angle_deg,label_along_strike_m,label_perp_strike_m
378,202001,110.0,20,80,0.0,90.0,270.0,0.0
389,202001,124.0,34,43,2.220446049250313e-16,89.99999999999999,270.0,5.684341886080802e-14
391,202001,83.0,173,10,5.551115123125783e-17,90.0,269.99999999999994,0.0
396,202001,72.0,342,28,-1.6653345369377348e-16,90.0,269.99999999999994,-7.105427357601002e-14
402,202001,89.0,179,59,-1.5959455978986625e-16,90.0,270.0,-2.930988785010413e-14
406,202004,109.0,19,31,5.551115123125783e-17,90.0,270.00000000000006,2.842170943040401e-14
412,202001,131.0,221,56,5.551115123125783e-17,90.0,270.0,2.842170943040401e-14
333,202001,145.0,235,42,5.551115123125783e-16,89.99999999999997,270.0,1.2789769243681803e-13
296,202001,31.0,301,9,0.0,90.0,270.0,0.0
307,202001,108.0,18,49,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
124,202001,89.0,179,45,-1.5959455978986625e-16,90.0,270.0,-2.930988785010413e-14
127,202001,83.0,173,76,5.551115123125783e-17,90.0,269.99999999999994,0.0
134,202001,91.0,1,82,3.469446951953614e-17,90.0,270.0,-8.881784197001252e-15
136,202001,66.0,336,73,1.1102230246251565e-16,90.0,270.0,1.4210854715202004e-14
141,202001,89.0,359,36,3.8163916471489756e-17,90.0,270.0,-3.552713678800501e-15
209,202001,13.0,283,48,-8.326672684688674e-17,90.0,270.0,-2.1316282072803006e-14
212,202001,79.0,169,72,5.551115123125783e-17,90.0,270.00000000000006,7.105427357601002e-15
210,202001,72.0,342,50,-1.6653345369377348e-16,90.0,269.99999999999994,-7.105427357601002e-14
249,202001,91.0,181,45,-1.5959455978986625e-16,90.0,270.0,-2.4868995751603507e-14
248,202001,90.0,180,41,6.123233995736766e-17,90.0,270.0,3.3065463576978534e-14
248,202001,20.0,290,44,2.7755575615628914e-16,89.99999999999999,270.0,8.526512829121202e-14
