ID,FEATUREID,CHFCAC,GZBBGA,GZBBAB,GZBBAC,GZBBAD,strike_dip_diff
365,OFBA016C1AJ430010020000226,000226,202001,127.0,37,38,90.0
370,OFBA016C1AJ430010020000227,000227,202001,72.0,342,87,90.0
373,OFBA016C1AJ430010020000228,000228,202001,87.0,177,60,90.0
376,OFBA016C1AJ430010020000229,000229,202001,20.0,110,37,90.0
379,OFBA016C1AJ430010020000230,000230,202001,113.0,203,55,90.0
387,OFBA016C1AJ430010020000231,000231,202001,98.0,8,73,90.0
386,OFBA016C1AJ430010020000232,000232,202001,78.0,348,70,90.0
390,OFBA016C1AJ430010020000233,000233,202001,70.0,160,45,90.0
378,OFBA016C1AJ430010020000234,000234,202001,74.0,344,46,90.0
377,OFBA016C1AJ430010020000235,000235,202001,80.0,170,70,90.0
375,OFBA016C1AJ430010020000236,000236,202001,104.0,14,18,90.0
85,OFBA016C1AJ430010020000237,000237,202005,137.0,47,62,90.0
86,OFBA016C1AJ430010020000238,000238,202005,93.0,183,44,90.0
93,OFBA016C1AJ430010020000239,000239,202005,116.0,26,53,90.0
95,OFBA016C1AJ430010020000240,000240,202005,111.0,21,42,90.0
97,OFBA016C1AJ430010020000241,000241,202005,111.0,201,55,90.0
98,OFBA016C1AJ430010020000242,000242,202005,116.0,26,54,90.0
99,OFBA016C1AJ430010020000243,000243,202005,116.0,26,50,90.0
100,OFBA016C1AJ430010020000244,000244,202005,116.0,26,52,90.0
102,OFBA016C1AJ430010020000245,000245,202005,84.0,174,71,90.0
137,OFBA016C1AJ430010020000246,000246,202001,140.0,230,32,90.0
145,OFBA016C1AJ430010020000247,000247,202005,103.0,193,72,90.0
151,OFBA016C1AJ430010020000248,000248,202005,112.0,22,80,90.0
153,OFBA016C1AJ430010020000249,000249,202005,97.0,187,40,90.0
172,OFBA016C1AJ430010020000250,000250,202005,116.0,26,55,90.0
152,OFBA016C1AJ430010020000251,000251,202005,103.0,193,40,90.0
169,OFBA016C1AJ430010020000252,000252,202005,115.0,205,48,90.0
172,OFBA016C1AJ430010020000253,000253,202005,126.0,36,28,90.0
192,OFBA016C1AJ430010020000254,000254,202001,70.0,340,32,90.0
110,OFBA016C1AJ430010020000255,000255,202005,91.0,181,50,90.0
117,OFBA016C1AJ430010020000256,000256,202005,88.0,358,52,90.0
124,OFBA016C1AJ430010020000257,000257,202005,134.0,44,60,90.0
125,OFBA016C1AJ430010020000258,000258,202005,116.0,206,54,90.0
117,OFBA016C1AJ430010020000259,000259,202001,117.0,27,31,90.0
123,OFBA016C1AJ430010020000260,000260,202001,118.0,28,32,90.0
124,OFBA016C1AJ430010020000261,000261,202001,108.0,18,43,90.0
129,OFBA016C1AJ430010020000262,000262,202001,118.0,208,12,90.0
141,OFBA016C1AJ430010020000263,000263,202001,137.0,227,41,90.0
142,OFBA016C1AJ430010020000264,000264,202001,137.0,227,43,90.0
151,OFBA016C1AJ430010020000265,000265,202001,108.0,18,65,90.0
154,OFBA016C1AJ430010020000266,000266,202001,118.0,28,65,90.0
140,OFBA016C1AJ430010020000267,000267,202001,137.0,47,47,90.0
143,OFBA016C1AJ430010020000268,000268,202001,135.0,45,48,90.0
144,OFBA016C1AJ430010020000269,000269,202001,135.0,45,53,90.0
145,OFBA016C1AJ430010020000270,000270,202001,135.0,45,43,90.0
146,OFBA016C1AJ430010020000271,000271,202001,136.0,46,39,90.0
145,OFBA016C1AJ430010020000272,000272,202005,132.0,42,53,90.0
146,OFBA016C1AJ430010020000273,000273,202005,148.0,58,63,90.0
225,OFBA016C1AJ430010020000274,000274,202001,88.0,358,31,90.0
229,OFBA016C1AJ430010020000275,000275,202001,55.0,325,51,90.0
271,OFBA016C1AJ430010020000276,000276,202001,102.0,192,41,90.0
277,OFBA016C1AJ430010020000277,000277,202005,122.0,32,50,90.0
266,OFBA016C1AJ430010020000278,000278,202001,107.0,17,55,90.0
272,OFBA016C1AJ430010020000279,000279,202005,145.0,55,62,90.0
275,OFBA016C1AJ430010020000280,000280,202001,110.0,20,62,90.0
276,OFBA016C1AJ430010020000281,000281,202001,120.0,210,58,90.0
277,OFBA016C1AJ430010020000282,000282,202005,102.0,12,43,90.0
279,OFBA016C1AJ430010020000283,000283,202005,134.0,44,65,90.0
281,OFBA016C1AJ430010020000284,000284,202001,115.0,25,40,90.0
275,OFBA016C1AJ430010020000285,000285,202001,135.0,45,53,90.0
280,OFBA016C1AJ430010020000286,000286,202001,145.0,55,65,90.0
330,OFBA016C1AJ430010020000287,000287,202005,58.0,328,47,90.0
342,OFBA016C1AJ430010020000288,000288,202001,67.0,157,43,90.0
358,OFBA016C1AJ430010020000289,000289,202005,129.0,39,10,90.0
87,OFBA016C1AJ430010020000290,000290,202001,15.0,105,30,90.0
91,OFBA016C1AJ430010020000291,000291,202001,28.0,298,70,90.0
102,OFBA016C1AJ430010020000292,000292,202001,3.0,93,42,90.0
106,OFBA016C1AJ430010020000293,000293,202001,63.0,333,38,90.0
111,OFBA016C1AJ430010020000294,000294,202001,63.0,333,30,90.0
118,OFBA016C1AJ430010020000295,000295,202001,27.0,117,50,90.0
118,OFBA016C1AJ430010020000296,000296,202001,42.0,312,48,90.0
127,OFBA016C1AJ430010020000297,000297,202001,60.0,330,18,90.0
132,OFBA016C1AJ430010020000298,000298,202001,18.0,288,75,90.0
136,OFBA016C1AJ430010020000299,000299,202001,58.0,148,72,90.0
139,OFBA016C1AJ430010020000300,000300,202001,175.0,265,12,90.0
140,OFBA016C1AJ430010020000301,000301,202001,13.0,103,78,90.0
138,OFBA016C1AJ430010020000302,000302,202001,79.0,169,65,90.0
126,OFBA016C1AJ430010020000303,000303,202001,26.0,116,80,90.0
85,OFBA016C1AJ430010020000304,000304,202011,90.0,0,63,90.0
141,OFBA016C1AJ430010020000305,000305,202001,62.0,332,38,90.0
